,infected,recovered,susceptible,dead,R0,severe_cases
0,5,0,4595,0.0,0.0,0
1,7,0,4593,0.0,1.0,0
2,10,0,4590,0.0,1.0,0
3,14,0,4586,0.0,1.5,0
4,22,0,4578,0.0,1.7,0
5,23,0,4577,0.0,1.6363636363636365,0
6,25,1,4574,0.0,1.6153846153846154,0
7,29,1,4570,0.0,1.6666666666666667,0
8,31,1,4568,0.0,1.6875,0
9,38,1,4561,0.0,1.8888888888888888,0
10,44,1,4555,0.0,1.8181818181818181,0
11,49,2,4549,0.0,1.7692307692307692,0
12,55,3,4542,0.0,1.7096774193548387,0
13,67,5,4528,0.0,1.675,0
14,77,9,4514,0.0,1.7608695652173914,1
15,91,10,4499,0.0,1.7454545454545454,2
16,99,13,4488,0.0,1.7258064516129032,3
17,118,17,4464,1.0,1.7808219178082192,1
18,137,20,4442,1.0,1.7882352941176471,3
19,160,24,4415,1.0,1.7549019607843137,6
20,186,30,4383,1.0,1.743801652892562,7
21,210,36,4353,1.0,1.7463768115942029,7
22,232,45,4321,2.0,1.7388535031847134,9
23,265,55,4278,2.0,1.7173913043478262,13
24,311,59,4228,2.0,1.7345971563981042,17
25,345,73,4180,2.0,1.725,18
26,386,85,4127,2.0,1.749063670411985,22
27,438,101,4059,2.0,1.7540983606557377,23
28,503,111,3984,2.0,1.7941176470588236,24
29,577,131,3890,2.0,1.8005115089514065,26
30,663,145,3790,2.0,1.7748344370860927,26
31,736,166,3696,2.0,1.774703557312253,29
32,814,188,3596,2.0,1.791741472172352,33
33,897,210,3491,2.0,1.7819063004846527,39
34,998,252,3348,2.0,1.7902298850574712,43
35,1091,300,3207,2.0,1.7966321243523315,44
36,1183,337,3078,2.0,1.7856301531213192,56
37,1297,381,2920,2.0,1.7884615384615385,59
38,1429,436,2733,2.0,1.7825670498084292,63
39,1520,505,2573,2.0,1.7853356890459364,75
40,1595,573,2430,2.0,1.7796052631578947,87
41,1676,656,2266,2.0,1.7770992366412213,88
42,1739,734,2125,2.0,1.7839595375722543,93
43,1777,827,1994,2.0,1.7771701982228298,95
44,1814,923,1861,2.0,1.7677878395860285,95
45,1862,1005,1731,2.0,1.7749535027898327,99
46,1857,1125,1616,2.0,1.7673590504451038,104
47,1864,1225,1509,2.0,1.7608447488584476,105
48,1812,1372,1414,2.0,1.758849557522124,103
49,1782,1495,1321,2.0,1.7540192926045015,104
50,1729,1630,1239,2.0,1.7547071129707112,97
51,1676,1751,1171,2.0,1.749105774144098,94
52,1623,1876,1099,2.0,1.7466266866566718,94
53,1547,2001,1049,3.0,1.7406679764243616,90
54,1444,2156,997,3.0,1.7346840328027013,81
55,1335,2315,947,3.0,1.735364112327463,77
56,1234,2459,904,3.0,1.7303001876172608,69
57,1129,2605,863,3.0,1.7236598890942698,62
58,1023,2725,849,3.0,1.7213793103448276,57
59,914,2872,811,3.0,1.7175295186194368,44
60,837,2972,788,3.0,1.717057761732852,39
61,741,3091,765,3.0,1.716591928251121,35
62,674,3175,748,3.0,1.715751896474788,33
63,608,3255,734,3.0,1.7120674356699201,27
64,543,3331,723,3.0,1.709363957597173,24
65,494,3392,711,3.0,1.7071240105540897,21
66,440,3462,695,3.0,1.7044162658504591,16
67,389,3523,685,3.0,1.7043174880069778,12
68,345,3574,678,3.0,1.7036553524804177,11
69,312,3616,669,3.0,1.7016478751084128,10
70,272,3661,664,3.0,1.7001298139333623,9
71,235,3701,661,3.0,1.6992221261884184,9
72,199,3740,658,3.0,1.6990500863557858,9
73,170,3773,654,3.0,1.6993097497842968,7
74,138,3807,652,3.0,1.6987068965517242,7
75,124,3825,648,3.0,1.698966408268734,7
76,108,3844,645,3.0,1.6987951807228916,6
77,92,3861,644,3.0,1.698494623655914,6
78,88,3870,639,3.0,1.6977243452125377,5
79,71,3888,638,3.0,1.6974248927038627,3
80,62,3899,636,3.0,1.6975546975546976,2
81,55,3907,635,3.0,1.6972555746140652,2
82,51,3912,634,3.0,1.6969567081011574,2
83,47,3917,633,3.0,1.6966580976863752,1
84,43,3922,632,3.0,1.6963597430406852,1
85,37,3929,631,3.0,1.6960616438356164,1
86,31,3936,630,3.0,1.6957637997432606,2
87,28,3941,628,3.0,1.6958939264328485,1
88,26,3945,626,3.0,1.6952991452991453,1
89,24,3948,625,3.0,1.695002135839385,2
90,22,3950,625,3.0,1.695002135839385,2
91,22,3950,625,3.0,1.695002135839385,2
92,16,3956,625,3.0,1.695002135839385,2
93,13,3959,625,3.0,1.695002135839385,2
94,11,3961,625,3.0,1.695002135839385,2
95,11,3962,624,3.0,1.6947053800170795,2
96,9,3964,624,3.0,1.6947053800170795,2
97,9,3964,624,3.0,1.6947053800170795,2
98,7,3966,624,3.0,1.6947053800170795,1
99,7,3966,624,3.0,1.6947053800170795,1
100,6,3968,623,3.0,1.694408877507469,1
