,infected,recovered,susceptible,dead,R0,severe_cases
0,6,0,4594,0.0,0.0,0
1,14,0,4586,0.0,1.1428571428571428,1
2,37,0,4563,0.0,2.066666666666667,3
3,127,0,4473,0.0,2.2,8
4,334,0,4266,0.0,2.05,23
5,807,2,3791,0.0,2.06426735218509,44
6,1616,7,2977,0.0,1.9647630619684082,82
7,2640,12,1948,0.0,1.914616497829233,126
8,3493,28,1079,0.0,1.8887694787748521,165
9,3939,45,616,0.0,1.8649789029535866,194
10,4132,80,388,0.0,1.8536800352578229,203
11,4232,123,245,0.0,1.8412362404741744,207
12,4224,199,177,0.0,1.8343023255813953,210
13,4164,293,143,0.0,1.8309337721102428,207
14,4044,441,115,0.0,1.828909759085341,197
15,3900,603,97,0.0,1.8265637692932575,193
16,3698,817,85,0.0,1.8262454434993924,181
17,3474,1049,77,0.0,1.8265264860493329,168
18,3190,1340,70,0.0,1.8256658595641646,158
19,2876,1657,67,0.0,1.8254032258064516,142
20,2487,2047,65,1.0,1.8254735993550988,123
21,2128,2409,62,1.0,1.8244766505636072,104
22,1761,2776,62,1.0,1.8244766505636072,83
23,1402,3136,61,1.0,1.8241448692152917,61
24,1079,3460,60,1.0,1.8245472837022132,48
25,784,3755,60,1.0,1.8245472837022132,37
26,549,3990,60,1.0,1.8245472837022132,29
27,372,4167,60,1.0,1.8245472837022132,18
28,228,4311,60,1.0,1.8245472837022132,14
29,142,4397,60,1.0,1.8245472837022132,9
30,93,4446,60,1.0,1.8245472837022132,5
31,58,4481,60,1.0,1.8245472837022132,4
32,37,4502,60,1.0,1.8245472837022132,3
33,26,4513,60,1.0,1.8245472837022132,1
34,19,4520,60,1.0,1.8245472837022132,1
35,13,4526,60,1.0,1.8245472837022132,1
36,6,4533,60,1.0,1.8245472837022132,1
37,1,4538,60,1.0,1.8245472837022132,0
38,1,4538,60,1.0,1.8245472837022132,0
39,1,4538,60,1.0,1.8245472837022132,0
40,1,4538,60,1.0,1.8245472837022132,0
41,1,4538,60,1.0,1.8245472837022132,0
42,1,4538,60,1.0,1.8245472837022132,0
43,0,4539,60,1.0,1.8245472837022132,0
44,0,4539,60,1.0,1.8245472837022132,0
45,0,4539,60,1.0,1.8245472837022132,0
46,0,4539,60,1.0,1.8245472837022132,0
47,0,4539,60,1.0,1.8245472837022132,0
48,0,4539,60,1.0,1.8245472837022132,0
49,0,4539,60,1.0,1.8245472837022132,0
50,0,4539,60,1.0,1.8245472837022132,0
51,0,4539,60,1.0,1.8245472837022132,0
52,0,4539,60,1.0,1.8245472837022132,0
53,0,4539,60,1.0,1.8245472837022132,0
54,0,4539,60,1.0,1.8245472837022132,0
55,0,4539,60,1.0,1.8245472837022132,0
56,0,4539,60,1.0,1.8245472837022132,0
57,0,4539,60,1.0,1.8245472837022132,0
58,0,4539,60,1.0,1.8245472837022132,0
59,0,4539,60,1.0,1.8245472837022132,0
60,0,4539,60,1.0,1.8245472837022132,0
61,0,4539,60,1.0,1.8245472837022132,0
62,0,4539,60,1.0,1.8245472837022132,0
63,0,4539,60,1.0,1.8245472837022132,0
64,0,4539,60,1.0,1.8245472837022132,0
65,0,4539,60,1.0,1.8245472837022132,0
66,0,4539,60,1.0,1.8245472837022132,0
67,0,4539,60,1.0,1.8245472837022132,0
68,0,4539,60,1.0,1.8245472837022132,0
69,0,4539,60,1.0,1.8245472837022132,0
70,0,4539,60,1.0,1.8245472837022132,0
71,0,4539,60,1.0,1.8245472837022132,0
72,0,4539,60,1.0,1.8245472837022132,0
73,0,4539,60,1.0,1.8245472837022132,0
74,0,4539,60,1.0,1.8245472837022132,0
75,0,4539,60,1.0,1.8245472837022132,0
76,0,4539,60,1.0,1.8245472837022132,0
77,0,4539,60,1.0,1.8245472837022132,0
78,0,4539,60,1.0,1.8245472837022132,0
79,0,4539,60,1.0,1.8245472837022132,0
80,0,4539,60,1.0,1.8245472837022132,0
81,0,4539,60,1.0,1.8245472837022132,0
82,0,4539,60,1.0,1.8245472837022132,0
83,0,4539,60,1.0,1.8245472837022132,0
84,0,4539,60,1.0,1.8245472837022132,0
85,0,4539,60,1.0,1.8245472837022132,0
86,0,4539,60,1.0,1.8245472837022132,0
87,0,4539,60,1.0,1.8245472837022132,0
88,0,4539,60,1.0,1.8245472837022132,0
89,0,4539,60,1.0,1.8245472837022132,0
90,0,4539,60,1.0,1.8245472837022132,0
91,0,4539,60,1.0,1.8245472837022132,0
92,0,4539,60,1.0,1.8245472837022132,0
93,0,4539,60,1.0,1.8245472837022132,0
94,0,4539,60,1.0,1.8245472837022132,0
95,0,4539,60,1.0,1.8245472837022132,0
96,0,4539,60,1.0,1.8245472837022132,0
97,0,4539,60,1.0,1.8245472837022132,0
98,0,4539,60,1.0,1.8245472837022132,0
99,0,4539,60,1.0,1.8245472837022132,0
100,0,4539,60,1.0,1.8245472837022132,0
