,infected,recovered,susceptible,dead,R0,severe_cases
0,5,0,4595,0.0,0.0,0
1,7,0,4593,0.0,1.0,0
2,13,0,4587,0.0,1.3333333333333333,0
3,15,0,4585,0.0,1.25,0
4,16,0,4584,0.0,1.2222222222222223,0
5,19,0,4581,0.0,1.2727272727272727,0
6,23,0,4577,0.0,1.3846153846153846,0
7,27,0,4573,0.0,1.4666666666666666,0
8,31,0,4569,0.0,1.4444444444444444,1
9,33,1,4566,0.0,1.45,1
10,41,2,4557,0.0,1.7272727272727273,1
11,49,4,4547,0.0,1.7142857142857142,2
12,54,6,4540,0.0,1.6666666666666667,2
13,65,7,4528,0.0,1.675,3
14,75,9,4516,0.0,1.7954545454545454,3
15,89,13,4498,0.0,1.830188679245283,4
16,107,14,4479,0.0,1.8412698412698412,5
17,125,19,4456,0.0,1.904109589041096,4
18,154,20,4426,0.0,1.8369565217391304,6
19,183,26,4391,0.0,1.8214285714285714,10
20,222,34,4344,0.0,1.8592592592592592,14
21,268,41,4291,0.0,1.9363057324840764,17
22,306,50,4244,0.0,1.8972972972972972,18
23,356,53,4190,1.0,1.9471153846153846,19
24,404,68,4127,1.0,1.9024390243902438,19
25,462,75,4062,1.0,1.88339222614841,21
26,527,91,3981,1.0,1.8493975903614457,24
27,601,105,3893,1.0,1.828125,32
28,668,122,3809,1.0,1.8581560283687943,33
29,748,145,3706,1.0,1.8405797101449275,36
30,822,173,3604,1.0,1.8523364485981308,42
31,914,203,3482,1.0,1.8336079077429983,48
32,1001,244,3354,1.0,1.8550074738415545,50
33,1107,287,3205,1.0,1.8657718120805369,57
34,1212,327,3060,1.0,1.8765281173594133,59
35,1322,379,2898,1.0,1.877212389380531,66
36,1430,430,2739,1.0,1.8690835850956697,74
37,1549,491,2559,1.0,1.8559708295350956,91
38,1659,551,2389,1.0,1.8337489609310058,100
39,1752,644,2203,1.0,1.8190114068441066,104
40,1840,725,2034,1.0,1.821479374110953,107
41,1898,808,1893,1.0,1.7977378576180971,111
42,1952,892,1755,1.0,1.7884130982367759,115
43,1968,1000,1631,1.0,1.786618444846293,113
44,1996,1103,1500,1.0,1.7869515011547343,119
45,1994,1225,1380,1.0,1.7791920309905922,117
46,1979,1358,1262,1.0,1.773815859499734,114
47,1926,1502,1170,2.0,1.7627380339680905,108
48,1869,1648,1081,2.0,1.7543684473290064,99
49,1768,1814,1016,2.0,1.7535521803037726,89
50,1671,1976,951,2.0,1.7569913211186114,76
51,1590,2112,896,2.0,1.7580798479087452,74
52,1472,2277,849,2.0,1.7521047708138446,68
53,1342,2436,820,2.0,1.7549976754997676,61
54,1238,2571,789,2.0,1.750689972401104,55
55,1109,2724,765,2.0,1.7472627737226278,49
56,1017,2849,732,2.0,1.744018058690745,45
57,921,2972,705,2.0,1.7412712623097584,36
58,830,3081,687,2.0,1.7392078326657765,32
59,746,3178,674,2.0,1.7388026607538802,22
60,676,3269,653,2.0,1.7388619320688135,19
61,591,3369,638,2.0,1.734765453748356,17
62,499,3470,629,2.0,1.7349081364829397,15
63,439,3540,619,2.0,1.7317073170731707,15
64,389,3593,616,2.0,1.7315056570931244,13
65,330,3657,611,2.0,1.7321739130434783,10
66,290,3703,605,2.0,1.7302688638334778,8
67,252,3747,599,2.0,1.7291215923842493,7
68,226,3781,591,2.0,1.7280966767371602,6
69,194,3816,588,2.0,1.7278999568779647,5
70,164,3850,584,2.0,1.727390180878553,4
71,147,3869,582,2.0,1.7275075333620318,4
72,138,3880,580,2.0,1.7276247848537005,4
73,118,3901,579,2.0,1.7280550774526677,3
74,104,3918,576,2.0,1.7271164589600343,3
75,87,3939,572,2.0,1.725868725868726,4
76,70,3957,570,3.0,1.72524646378054,3
77,65,3965,567,3.0,1.7243150684931507,2
78,57,3975,565,3.0,1.7236954662104362,2
79,54,3980,563,3.0,1.7238135955536553,3
80,50,3985,562,3.0,1.7235042735042736,3
81,43,3992,562,3.0,1.7235042735042736,3
82,41,3995,561,3.0,1.7231952157197779,3
83,34,4002,561,3.0,1.7231952157197779,1
84,28,4009,560,3.0,1.7228864218616566,1
85,24,4014,559,3.0,1.722577891591976,0
86,26,4015,556,3.0,1.7216538789428815,0
87,24,4017,556,3.0,1.7216538789428815,0
88,21,4021,555,3.0,1.722080136402387,0
89,20,4022,555,3.0,1.722080136402387,0
90,14,4028,555,3.0,1.722080136402387,0
91,12,4030,555,3.0,1.722080136402387,0
92,12,4031,554,3.0,1.7225063938618925,0
93,11,4032,554,3.0,1.7225063938618925,0
94,10,4033,554,3.0,1.7225063938618925,0
95,7,4036,554,3.0,1.7225063938618925,0
96,4,4039,554,3.0,1.7225063938618925,0
97,4,4039,554,3.0,1.7225063938618925,0
98,4,4039,554,3.0,1.7225063938618925,0
99,3,4040,554,3.0,1.7225063938618925,0
100,3,4040,554,3.0,1.7225063938618925,0
