,infected,recovered,susceptible,dead,R0,severe_cases
0,3,0,4597,0.0,0.0,0
1,6,0,4594,0.0,1.0,0
2,8,0,4592,0.0,1.25,0
3,9,0,4591,0.0,1.2,0
4,10,0,4590,0.0,1.1666666666666667,0
5,11,0,4589,0.0,1.3333333333333333,0
6,17,0,4583,0.0,1.5555555555555556,0
7,22,0,4578,0.0,1.7272727272727273,1
8,28,1,4571,0.0,1.8571428571428572,1
9,33,2,4565,0.0,1.6842105263157894,3
10,37,3,4560,0.0,1.85,3
11,47,4,4549,0.0,1.7777777777777777,4
12,52,5,4543,0.0,1.6875,4
13,62,5,4533,0.0,1.8285714285714285,5
14,77,6,4517,0.0,2.0,5
15,82,9,4509,0.0,1.9555555555555555,5
16,92,11,4497,0.0,2.0,5
17,102,12,4486,0.0,1.9821428571428572,4
18,117,12,4471,0.0,1.9090909090909092,4
19,148,13,4439,0.0,1.9268292682926829,6
20,164,18,4418,0.0,1.8842105263157896,7
21,179,28,4393,0.0,1.9428571428571428,9
22,215,32,4353,0.0,1.90625,12
23,240,40,4320,0.0,1.8590604026845639,12
24,279,48,4273,0.0,1.8728323699421965,15
25,342,58,4200,0.0,1.7963800904977376,16
26,385,72,4143,0.0,1.8087649402390438,18
27,448,84,4068,0.0,1.8496503496503496,21
28,521,92,3987,0.0,1.8429003021148036,22
29,609,113,3878,0.0,1.8248730964467006,27
30,701,129,3769,1.0,1.7775377969762418,31
31,792,152,3655,1.0,1.8123791102514506,35
32,901,172,3526,1.0,1.7946127946127945,38
33,1010,194,3395,1.0,1.7919161676646707,43
34,1102,230,3267,1.0,1.7978290366350067,48
35,1205,264,3130,1.0,1.7982779827798279,51
36,1299,308,2992,1.0,1.8018018018018018,57
37,1419,369,2811,1.0,1.786359077231695,63
38,1509,421,2669,1.0,1.7855153203342617,67
39,1586,506,2507,1.0,1.7927773000859846,70
40,1668,576,2355,1.0,1.7881694644284571,76
41,1744,644,2211,1.0,1.7942727957799547,78
42,1803,716,2080,1.0,1.7942857142857143,82
43,1856,807,1936,1.0,1.7789685197588747,84
44,1893,913,1793,1.0,1.786215698787492,87
45,1901,1024,1674,1.0,1.7803538743136058,89
46,1917,1123,1559,1.0,1.7788856304985337,88
47,1907,1240,1452,1.0,1.7660292463442069,86
48,1846,1396,1357,1.0,1.7600652883569097,85
49,1788,1544,1266,2.0,1.7629904559915164,84
50,1723,1690,1185,2.0,1.7556701030927835,84
51,1635,1835,1128,2.0,1.7578680203045685,77
52,1545,1987,1066,2.0,1.7546042807366848,73
53,1450,2124,1024,2.0,1.7493869543894065,72
54,1356,2266,976,2.0,1.748065764023211,65
55,1270,2395,933,2.0,1.7402473834443388,60
56,1148,2550,900,2.0,1.737758945386064,49
57,1050,2682,865,3.0,1.7362534948741846,46
58,973,2788,836,3.0,1.7312125403411711,44
59,871,2909,816,4.0,1.7261088248742569,43
60,772,3021,803,4.0,1.7249544626593807,37
61,708,3106,782,4.0,1.7219710669077757,34
62,639,3191,766,4.0,1.7198741007194245,31
63,570,3277,749,4.0,1.7174787662047384,30
64,506,3354,736,4.0,1.7171492204899776,25
65,446,3432,718,4.0,1.7167553191489362,20
66,395,3488,713,4.0,1.715929203539823,18
67,341,3546,709,4.0,1.7146643109540636,14
68,303,3594,699,4.0,1.7145374449339208,12
69,264,3642,690,4.0,1.7132191480017567,11
70,234,3675,687,4.0,1.7130320315928038,10
71,196,3717,683,4.0,1.7117827420061322,9
72,172,3747,677,4.0,1.7114123305640576,9
73,151,3770,675,4.0,1.710790738313674,9
74,136,3788,672,4.0,1.7098603839441535,7
75,117,3809,670,4.0,1.709986916703009,6
76,99,3830,667,4.0,1.7090592334494774,6
77,84,3849,663,4.0,1.7093124456048738,5
78,78,3857,661,4.0,1.7094388864723793,5
79,70,3866,660,4.0,1.7091304347826086,4
80,63,3876,657,4.0,1.7082066869300911,2
81,54,3885,657,4.0,1.7082066869300911,2
82,47,3893,656,4.0,1.7078993055555556,2
83,43,3899,654,4.0,1.707285342584562,0
84,38,3904,654,4.0,1.707285342584562,0
85,31,3911,654,4.0,1.707285342584562,0
86,28,3915,653,4.0,1.706978760294755,0
87,24,3919,653,4.0,1.706978760294755,0
88,22,3922,652,4.0,1.7066724436741767,0
89,19,3926,651,4.0,1.7063663923776526,0
90,18,3928,650,4.0,1.706060606060606,0
91,15,3931,650,4.0,1.706060606060606,0
92,11,3936,649,4.0,1.7057550843790568,0
93,10,3937,649,4.0,1.7057550843790568,0
94,10,3938,648,4.0,1.7054498269896194,0
95,10,3938,648,4.0,1.7054498269896194,0
96,7,3941,648,4.0,1.7054498269896194,0
97,6,3942,648,4.0,1.7054498269896194,0
98,6,3942,648,4.0,1.7054498269896194,0
99,5,3943,648,4.0,1.7054498269896194,0
100,4,3944,648,4.0,1.7054498269896194,0
