,infected,recovered,susceptible,dead,R0,severe_cases
0,4,0,4596,0.0,0.0,0
1,5,0,4595,0.0,1.0,0
2,8,0,4592,0.0,1.3333333333333333,0
3,9,0,4591,0.0,1.25,0
4,11,0,4589,0.0,1.4,0
5,17,0,4583,0.0,1.4444444444444444,0
6,27,0,4573,0.0,1.9166666666666667,0
7,41,1,4558,0.0,1.6521739130434783,2
8,50,3,4547,0.0,1.75,2
9,66,3,4531,0.0,1.7567567567567568,2
10,76,4,4520,0.0,1.8095238095238095,2
11,90,4,4506,0.0,1.836734693877551,2
12,102,7,4491,0.0,1.875,3
13,119,10,4471,0.0,1.8656716417910448,3
14,145,11,4444,0.0,1.8313253012048192,3
15,176,13,4411,0.0,1.796116504854369,3
16,204,19,4377,0.0,1.8099173553719008,6
17,242,25,4333,0.0,1.813793103448276,7
18,285,30,4285,0.0,1.8402366863905326,8
19,338,43,4219,0.0,1.8663366336633664,13
20,391,55,4154,0.0,1.8571428571428572,18
21,447,67,4086,0.0,1.8681318681318682,19
22,528,75,3997,0.0,1.8374233128834356,19
23,603,86,3911,0.0,1.8413978494623655,22
24,689,101,3810,0.0,1.8669833729216152,26
25,778,126,3696,0.0,1.836734693877551,34
26,863,156,3581,0.0,1.869244935543278,45
27,972,178,3450,0.0,1.8664495114006514,46
28,1073,216,3311,0.0,1.8623188405797102,53
29,1186,265,3149,0.0,1.8865710560625815,55
30,1266,313,3021,0.0,1.8705463182897861,56
31,1369,367,2864,0.0,1.8563772775991425,60
32,1465,413,2722,0.0,1.8665338645418326,67
33,1549,476,2575,0.0,1.8575367647058822,68
34,1626,562,2412,0.0,1.8492802709568164,69
35,1691,652,2257,0.0,1.8446372239747635,69
36,1761,731,2108,0.0,1.8294117647058823,76
37,1797,825,1978,0.0,1.8256624825662482,78
38,1855,915,1830,0.0,1.819736842105263,79
39,1859,1017,1724,0.0,1.810844892812106,80
40,1873,1123,1604,0.0,1.8013245033112584,84
41,1865,1235,1500,0.0,1.7927041111754487,86
42,1838,1361,1401,0.0,1.7899159663865547,86
43,1814,1488,1298,0.0,1.7885032537960954,84
44,1761,1637,1202,0.0,1.7872564507635598,79
45,1688,1785,1127,0.0,1.779887121600821,72
46,1605,1927,1068,0.0,1.7755410166079517,62
47,1509,2079,1012,0.0,1.7698765432098766,56
48,1433,2215,952,0.0,1.7629414610546685,54
49,1335,2347,918,0.0,1.7598086124401915,48
50,1242,2474,884,0.0,1.7584083372809096,49
51,1160,2594,846,0.0,1.7597372125762554,41
52,1064,2723,813,0.0,1.7554524361948955,39
53,984,2837,779,0.0,1.7501146263182026,33
54,896,2943,761,0.0,1.7463570127504553,27
55,821,3040,739,0.0,1.7476212052560036,27
56,729,3156,715,0.0,1.7466246624662467,24
57,651,3252,697,0.0,1.7429593205185516,22
58,579,3338,683,0.0,1.739884393063584,16
59,519,3412,669,0.0,1.7391496899911425,19
60,458,3485,657,0.0,1.7352422907488987,18
61,404,3544,652,0.0,1.7343887423043096,18
62,360,3597,643,0.0,1.7337719298245613,16
63,313,3653,634,0.0,1.730886850152905,15
64,271,3700,629,0.0,1.730802792321117,13
65,239,3741,620,0.0,1.7302001740644037,12
66,221,3767,612,0.0,1.728416485900217,12
67,196,3800,604,0.0,1.7273907399394202,11
68,176,3826,598,0.0,1.726252158894646,12
69,150,3856,594,0.0,1.725,9
70,132,3874,594,0.0,1.725,9
71,116,3891,593,0.0,1.7254310344827586,9
72,106,3903,591,0.0,1.7255493321844033,8
73,100,3911,589,0.0,1.7256675279931093,6
74,82,3932,586,0.0,1.725473321858864,5
75,74,3944,582,0.0,1.724967769660507,4
76,69,3952,579,0.0,1.7240343347639484,4
77,61,3961,578,0.0,1.7237237237237237,4
78,52,3970,578,0.0,1.7237237237237237,3
79,44,3978,578,0.0,1.7237237237237237,3
80,40,3983,577,0.0,1.7234133790737565,3
81,35,3988,577,0.0,1.7234133790737565,2
82,27,3997,576,0.0,1.723103300471496,1
83,20,4004,576,0.0,1.723103300471496,1
84,15,4009,576,0.0,1.723103300471496,1
85,14,4010,576,0.0,1.723103300471496,1
86,13,4012,575,0.0,1.7227934875749786,1
87,14,4012,574,0.0,1.7224839400428265,1
88,12,4014,574,0.0,1.7224839400428265,1
89,12,4015,573,0.0,1.7229122055674517,1
90,10,4018,572,0.0,1.7226027397260273,1
91,8,4020,572,0.0,1.7226027397260273,0
92,6,4023,571,0.0,1.7230308219178083,0
93,6,4023,571,0.0,1.7230308219178083,0
94,7,4023,570,0.0,1.7234589041095891,0
95,7,4023,570,0.0,1.7234589041095891,0
96,7,4024,569,0.0,1.7231493367565254,0
97,7,4024,569,0.0,1.7231493367565254,0
98,6,4025,569,0.0,1.7231493367565254,0
99,7,4025,568,0.0,1.7228400342172798,0
100,6,4026,568,0.0,1.7228400342172798,0
