,infected,recovered,susceptible,dead,R0,severe_cases
0,2,0,4598,0.0,0.0,0
1,2,0,4598,0.0,0.0,0
2,2,0,4598,0.0,0.0,0
3,2,0,4598,0.0,0.0,0
4,3,0,4597,0.0,1.0,0
5,4,0,4596,0.0,2.0,0
6,5,0,4595,0.0,1.5,0
7,8,0,4592,0.0,1.2,0
8,11,0,4589,0.0,1.5,0
9,15,0,4585,0.0,1.625,0
10,18,0,4582,0.0,1.6,0
11,20,0,4580,0.0,1.8,0
12,22,0,4578,0.0,1.6666666666666667,0
13,25,1,4574,0.0,1.7142857142857142,0
14,31,1,4568,0.0,1.875,0
15,35,1,4564,0.0,1.8888888888888888,0
16,46,1,4553,0.0,1.875,1
17,48,4,4548,0.0,1.7241379310344827,2
18,50,6,4544,0.0,1.8,2
19,60,7,4533,0.0,1.8055555555555556,2
20,74,9,4517,0.0,1.7608695652173914,2
21,91,11,4498,0.0,1.8181818181818181,3
22,99,14,4487,0.0,1.85,3
23,126,15,4459,0.0,1.7375,3
24,160,19,4421,0.0,1.8061224489795917,6
25,192,25,4383,0.0,1.9026548672566372,7
26,222,31,4347,0.0,1.887218045112782,10
27,254,37,4309,0.0,1.913907284768212,11
28,306,43,4251,0.0,1.8556149732620322,13
29,360,55,4185,0.0,1.9389671361502347,12
30,414,63,4123,0.0,1.954732510288066,15
31,505,71,4024,0.0,1.9725085910652922,22
32,568,86,3946,0.0,1.9757575757575758,29
33,660,96,3844,0.0,1.9635416666666667,37
34,779,116,3705,0.0,1.941304347826087,46
35,877,143,3580,0.0,1.9063670411985019,52
36,981,176,3443,0.0,1.899671052631579,59
37,1083,209,3308,0.0,1.8887262079062959,65
38,1190,250,3160,0.0,1.882198952879581,72
39,1309,288,3003,0.0,1.8764705882352941,82
40,1408,332,2860,0.0,1.8588235294117648,83
41,1525,385,2690,0.0,1.836381135707411,90
42,1665,447,2488,0.0,1.826839826839827,97
43,1765,516,2318,1.0,1.8063492063492064,101
44,1819,612,2168,1.0,1.8050595238095237,95
45,1878,703,2018,1.0,1.8140845070422535,94
46,1908,800,1891,1.0,1.8140939597315435,103
47,1906,922,1771,1.0,1.8107761385503527,100
48,1930,1021,1648,1.0,1.8062538320049049,104
49,1933,1126,1540,1.0,1.7985865724381624,96
50,1920,1253,1426,1.0,1.7868020304568528,89
51,1884,1387,1328,1.0,1.7846994535519125,82
52,1835,1525,1239,1.0,1.776071995764955,82
53,1775,1672,1152,1.0,1.76694045174538,77
54,1667,1845,1087,1.0,1.7667506297229219,71
55,1619,1967,1013,1.0,1.756253065228053,69
56,1510,2116,973,1.0,1.7569141193595341,62
57,1401,2275,923,1.0,1.7589841878294201,59
58,1312,2413,874,1.0,1.7538896746817538,56
59,1219,2544,836,1.0,1.7487203350395533,51
60,1121,2676,802,1.0,1.7450529222273354,48
61,1006,2813,780,1.0,1.743144424131627,45
62,901,2947,751,1.0,1.7436479128856623,45
63,830,3038,731,1.0,1.7400900900900902,42
64,749,3131,719,1.0,1.7392280071813286,39
65,672,3226,701,1.0,1.7363960749330956,35
66,623,3294,682,1.0,1.735581188997338,33
67,540,3395,664,1.0,1.734333627537511,27
68,482,3469,648,1.0,1.7322212467076383,26
69,431,3535,633,1.0,1.7304499781564002,24
70,376,3598,625,1.0,1.7294117647058824,20
71,329,3655,615,1.0,1.7262472885032538,17
72,288,3704,607,1.0,1.7244809688581315,14
73,257,3740,602,1.0,1.7236614853195165,13
74,234,3769,596,1.0,1.7232758620689654,12
75,206,3802,591,1.0,1.7232027550581146,10
76,188,3827,584,1.0,1.7225085910652922,11
77,165,3852,582,1.0,1.7226277372262773,11
78,141,3878,580,1.0,1.722007722007722,10
79,124,3899,576,1.0,1.7207708779443254,8
80,108,3916,575,1.0,1.7211991434689506,7
81,94,3932,573,1.0,1.7205819426615319,6
82,80,3947,572,1.0,1.7202737382378102,6
83,71,3960,568,1.0,1.7190435525192143,4
84,66,3968,565,1.0,1.7181236673773987,4
85,58,3977,564,1.0,1.7178175618073317,3
86,52,3983,564,1.0,1.7178175618073317,2
87,47,3989,563,1.0,1.7175117170856413,3
88,40,3997,562,1.0,1.717206132879046,3
89,35,4002,562,1.0,1.717206132879046,3
90,29,4008,562,1.0,1.717206132879046,3
91,27,4011,561,1.0,1.7169008088548319,2
92,24,4014,561,1.0,1.7169008088548319,2
93,18,4021,560,1.0,1.716595744680851,1
94,15,4024,560,1.0,1.716595744680851,1
95,12,4027,560,1.0,1.716595744680851,1
96,9,4030,560,1.0,1.716595744680851,1
97,7,4032,560,1.0,1.716595744680851,1
98,8,4032,559,1.0,1.7170212765957447,1
99,8,4032,559,1.0,1.7170212765957447,1
100,6,4034,559,1.0,1.7170212765957447,1
