,infected,recovered,susceptible,dead,R0,severe_cases
0,10,0,4590,0.0,0.0,2
1,11,0,4589,0.0,1.0,2
2,14,0,4586,0.0,1.3333333333333333,2
3,16,0,4584,0.0,1.2,2
4,17,0,4583,0.0,1.1666666666666667,2
5,18,0,4582,0.0,1.3333333333333333,2
6,23,0,4577,0.0,1.3,2
7,25,0,4575,0.0,1.3636363636363635,2
8,32,0,4568,0.0,1.2941176470588236,2
9,34,1,4565,0.0,1.25,2
10,40,2,4558,0.0,1.4545454545454546,2
11,48,2,4550,0.0,1.5384615384615385,2
12,54,4,4542,0.0,1.6551724137931034,2
13,70,5,4525,0.0,1.7567567567567568,2
14,76,9,4515,0.0,1.744186046511628,1
15,96,11,4493,0.0,1.830188679245283,3
16,112,11,4477,0.0,1.8225806451612903,5
17,135,14,4451,0.0,1.7820512820512822,6
18,162,20,4418,0.0,1.7373737373737375,8
19,191,24,4385,0.0,1.7372881355932204,11
20,218,32,4350,0.0,1.7266187050359711,13
21,272,35,4293,0.0,1.7678571428571428,15
22,321,45,4234,0.0,1.797979797979798,16
23,371,51,4178,0.0,1.7835497835497836,18
24,427,67,4106,0.0,1.7794117647058822,20
25,514,77,4009,0.0,1.7606060606060605,25
26,601,92,3907,0.0,1.8164893617021276,29
27,688,104,3808,0.0,1.7935779816513762,33
28,786,124,3690,0.0,1.7857142857142858,38
29,893,145,3562,0.0,1.7972027972027973,46
30,990,176,3434,0.0,1.8034321372854913,52
31,1122,216,3262,0.0,1.8241758241758241,59
32,1253,253,3094,0.0,1.8333333333333333,66
33,1400,289,2911,0.0,1.807319698600646,74
34,1503,341,2756,0.0,1.8033431661750245,83
35,1608,394,2598,0.0,1.79136690647482,91
36,1704,466,2430,0.0,1.7880794701986755,95
37,1762,549,2289,0.0,1.778207109737249,96
38,1819,650,2130,1.0,1.7826086956521738,102
39,1886,733,1980,1.0,1.7888965044551062,101
40,1919,831,1849,1.0,1.782184655396619,105
41,1955,912,1732,1.0,1.7751552795031056,106
42,1938,1031,1630,1.0,1.7692767483562462,101
43,1939,1146,1514,1.0,1.7627507163323781,107
44,1922,1284,1393,1.0,1.7624035281146637,97
45,1903,1410,1286,1.0,1.7668449197860963,96
46,1835,1567,1197,1.0,1.7662675689744924,94
47,1762,1721,1116,1.0,1.766141331977631,85
48,1673,1870,1056,1.0,1.7625935162094764,82
49,1583,2016,1000,1.0,1.7598039215686274,81
50,1485,2178,936,1.0,1.7525179856115107,79
51,1369,2331,899,1.0,1.7492890995260664,71
52,1277,2468,854,1.0,1.7409133271202237,64
53,1193,2582,824,1.0,1.7370848708487086,63
54,1106,2703,790,1.0,1.7327861377108984,59
55,1004,2832,763,1.0,1.7285456187895212,55
56,916,2941,742,1.0,1.7247870909905871,46
57,823,3052,724,1.0,1.7235844850646456,42
58,721,3171,707,1.0,1.7189021691013724,35
59,631,3271,697,1.0,1.7157338034376377,31
60,571,3344,684,1.0,1.715415019762846,28
61,506,3423,670,1.0,1.7132867132867133,22
62,445,3499,655,1.0,1.711613745106568,20
63,397,3555,646,2.0,1.709887250650477,18
64,346,3615,637,2.0,1.7093425605536332,14
65,293,3672,633,2.0,1.7081174438687392,11
66,252,3721,625,2.0,1.707149009474591,11
67,219,3761,618,2.0,1.7057560137457044,10
68,189,3792,617,2.0,1.7054529841133534,9
69,169,3815,613,3.0,1.7057057057057057,8
70,150,3837,610,3.0,1.7047986289631534,5
71,130,3862,605,3.0,1.7047496790757382,5
72,109,3883,605,3.0,1.7047496790757382,5
73,94,3901,602,3.0,1.7038461538461538,5
74,81,3914,602,3.0,1.7038461538461538,5
75,70,3925,602,3.0,1.7038461538461538,4
76,58,3938,601,3.0,1.7042735042735042,3
77,53,3944,600,3.0,1.7039726612558737,3
78,50,3950,597,3.0,1.7030716723549488,3
79,44,3956,597,3.0,1.7030716723549488,3
80,41,3960,596,3.0,1.7034982935153584,2
81,35,3966,596,3.0,1.7034982935153584,2
82,28,3973,596,3.0,1.7034982935153584,1
83,22,3980,595,3.0,1.7031982942430703,1
84,19,3983,595,3.0,1.7031982942430703,1
85,18,3984,595,3.0,1.7031982942430703,1
86,13,3989,595,3.0,1.7031982942430703,0
87,12,3990,595,3.0,1.7031982942430703,0
88,12,3991,594,3.0,1.7028985507246377,0
89,10,3993,594,3.0,1.7028985507246377,0
90,11,3993,593,3.0,1.7025990626331486,0
91,7,3997,593,3.0,1.7025990626331486,0
92,6,3998,593,3.0,1.7025990626331486,0
93,6,3999,592,3.0,1.7022998296422487,0
94,6,3999,592,3.0,1.7022998296422487,0
95,6,3999,592,3.0,1.7022998296422487,0
96,5,4000,592,3.0,1.7022998296422487,0
97,5,4001,591,3.0,1.702725724020443,0
98,5,4001,591,3.0,1.702725724020443,0
99,4,4002,591,3.0,1.702725724020443,0
100,4,4002,591,3.0,1.702725724020443,0
