,infected,recovered,susceptible,dead,R0,severe_cases
0,8,0,4592,0.0,0.0,0
1,12,0,4588,0.0,1.0,1
2,29,0,4571,0.0,1.5,2
3,50,2,4548,0.0,1.8333333333333333,2
4,108,2,4490,0.0,2.1702127659574466,4
5,231,2,4367,0.0,2.102803738317757,11
6,444,4,4152,0.0,2.0276497695852536,21
7,795,6,3799,0.0,2.0025252525252526,37
8,1382,8,3210,0.0,1.9221140472879,66
9,2198,14,2388,0.0,1.9265734265734267,109
10,2996,28,1576,0.0,1.8885410144020038,159
11,3593,47,959,1.0,1.8639630390143738,192
12,3891,85,623,1.0,1.8468342644320297,206
13,4047,130,422,1.0,1.8507992895204264,217
14,4130,189,280,1.0,1.8521701761925227,226
15,4126,265,207,2.0,1.8454736842105264,226
16,4063,372,163,2.0,1.8445833333333332,224
17,3950,514,133,3.0,1.8466639038541235,219
18,3785,698,114,3.0,1.846122112211221,207
19,3538,956,102,4.0,1.844983552631579,193
20,3258,1247,91,4.0,1.8426874231872183,179
21,2933,1578,84,5.0,1.8440442079410562,161
22,2582,1933,79,6.0,1.8430731507968943,145
23,2220,2301,73,6.0,1.842513259893921,132
24,1850,2672,71,7.0,1.8425774877650898,107
25,1473,3050,70,7.0,1.842233999184672,86
26,1163,3360,70,7.0,1.842233999184672,69
27,904,3620,69,7.0,1.8418907905460473,51
28,652,3872,69,7.0,1.8418907905460473,36
29,471,4053,69,7.0,1.8418907905460473,23
30,326,4198,69,7.0,1.8418907905460473,16
31,216,4308,69,7.0,1.8418907905460473,12
32,142,4382,69,7.0,1.8418907905460473,9
33,94,4430,69,7.0,1.8418907905460473,6
34,63,4461,69,7.0,1.8418907905460473,3
35,45,4479,69,7.0,1.8418907905460473,2
36,32,4492,69,7.0,1.8418907905460473,1
37,20,4504,69,7.0,1.8418907905460473,0
38,11,4513,69,7.0,1.8418907905460473,0
39,9,4515,69,7.0,1.8418907905460473,0
40,7,4517,69,7.0,1.8418907905460473,0
41,2,4522,69,7.0,1.8418907905460473,0
42,0,4524,69,7.0,1.8418907905460473,0
43,0,4524,69,7.0,1.8418907905460473,0
44,0,4524,69,7.0,1.8418907905460473,0
45,0,4524,69,7.0,1.8418907905460473,0
46,0,4524,69,7.0,1.8418907905460473,0
47,0,4524,69,7.0,1.8418907905460473,0
48,0,4524,69,7.0,1.8418907905460473,0
49,0,4524,69,7.0,1.8418907905460473,0
50,0,4524,69,7.0,1.8418907905460473,0
51,0,4524,69,7.0,1.8418907905460473,0
52,0,4524,69,7.0,1.8418907905460473,0
53,0,4524,69,7.0,1.8418907905460473,0
54,0,4524,69,7.0,1.8418907905460473,0
55,0,4524,69,7.0,1.8418907905460473,0
56,0,4524,69,7.0,1.8418907905460473,0
57,0,4524,69,7.0,1.8418907905460473,0
58,0,4524,69,7.0,1.8418907905460473,0
59,0,4524,69,7.0,1.8418907905460473,0
60,0,4524,69,7.0,1.8418907905460473,0
61,0,4524,69,7.0,1.8418907905460473,0
62,0,4524,69,7.0,1.8418907905460473,0
63,0,4524,69,7.0,1.8418907905460473,0
64,0,4524,69,7.0,1.8418907905460473,0
65,0,4524,69,7.0,1.8418907905460473,0
66,0,4524,69,7.0,1.8418907905460473,0
67,0,4524,69,7.0,1.8418907905460473,0
68,0,4524,69,7.0,1.8418907905460473,0
69,0,4524,69,7.0,1.8418907905460473,0
70,0,4524,69,7.0,1.8418907905460473,0
71,0,4524,69,7.0,1.8418907905460473,0
72,0,4524,69,7.0,1.8418907905460473,0
73,0,4524,69,7.0,1.8418907905460473,0
74,0,4524,69,7.0,1.8418907905460473,0
75,0,4524,69,7.0,1.8418907905460473,0
76,0,4524,69,7.0,1.8418907905460473,0
77,0,4524,69,7.0,1.8418907905460473,0
78,0,4524,69,7.0,1.8418907905460473,0
79,0,4524,69,7.0,1.8418907905460473,0
80,0,4524,69,7.0,1.8418907905460473,0
81,0,4524,69,7.0,1.8418907905460473,0
82,0,4524,69,7.0,1.8418907905460473,0
83,0,4524,69,7.0,1.8418907905460473,0
84,0,4524,69,7.0,1.8418907905460473,0
85,0,4524,69,7.0,1.8418907905460473,0
86,0,4524,69,7.0,1.8418907905460473,0
87,0,4524,69,7.0,1.8418907905460473,0
88,0,4524,69,7.0,1.8418907905460473,0
89,0,4524,69,7.0,1.8418907905460473,0
90,0,4524,69,7.0,1.8418907905460473,0
91,0,4524,69,7.0,1.8418907905460473,0
92,0,4524,69,7.0,1.8418907905460473,0
93,0,4524,69,7.0,1.8418907905460473,0
94,0,4524,69,7.0,1.8418907905460473,0
95,0,4524,69,7.0,1.8418907905460473,0
96,0,4524,69,7.0,1.8418907905460473,0
97,0,4524,69,7.0,1.8418907905460473,0
98,0,4524,69,7.0,1.8418907905460473,0
99,0,4524,69,7.0,1.8418907905460473,0
100,0,4524,69,7.0,1.8418907905460473,0
