,infected,recovered,susceptible,dead,R0,severe_cases
0,6,0,4594,0.0,0.0,0
1,6,0,4594,0.0,0.0,0
2,7,0,4593,0.0,1.0,0
3,12,0,4588,0.0,1.0,1
4,12,1,4587,0.0,1.1666666666666667,1
5,14,1,4585,0.0,1.2857142857142858,2
6,16,1,4583,0.0,1.5714285714285714,2
7,21,2,4577,0.0,1.7,2
8,29,3,4568,0.0,1.625,3
9,36,4,4560,0.0,1.619047619047619,4
10,43,4,4553,0.0,1.7826086956521738,4
11,49,5,4546,0.0,1.7777777777777777,4
12,52,6,4542,0.0,1.8571428571428572,3
13,63,6,4531,0.0,1.8,5
14,71,8,4521,0.0,1.9210526315789473,6
15,80,10,4510,0.0,1.7872340425531914,6
16,94,13,4493,0.0,1.7719298245614035,8
17,111,16,4473,0.0,1.8333333333333333,9
18,127,18,4455,0.0,1.759493670886076,10
19,150,21,4429,0.0,1.8131868131868132,9
20,160,33,4407,0.0,1.87,9
21,185,38,4377,0.0,1.8547008547008548,10
22,202,41,4357,0.0,1.8661417322834646,11
23,236,48,4316,0.0,1.8169934640522876,13
24,273,54,4273,0.0,1.8238636363636365,15
25,307,59,4234,0.0,1.836734693877551,16
26,361,70,4169,0.0,1.8008474576271187,21
27,411,82,4107,0.0,1.8037037037037038,25
28,457,97,4046,0.0,1.8451178451178452,28
29,522,118,3960,0.0,1.8982035928143712,30
30,607,136,3857,0.0,1.8471177944862156,35
31,685,159,3756,0.0,1.8217391304347825,39
32,769,176,3655,0.0,1.816247582205029,44
33,879,193,3528,0.0,1.7946127946127945,53
34,990,230,3380,0.0,1.767103347889374,60
35,1076,268,3256,0.0,1.7628458498023716,61
36,1167,321,3112,0.0,1.745583038869258,65
37,1246,370,2984,0.0,1.7367853290183388,70
38,1366,408,2826,0.0,1.7333333333333334,72
39,1461,455,2684,0.0,1.7363636363636363,78
40,1555,522,2523,0.0,1.7462057335581787,80
41,1628,606,2366,0.0,1.751572327044025,82
42,1709,673,2218,0.0,1.7496318114874816,85
43,1788,748,2064,0.0,1.7557251908396947,94
44,1821,840,1939,0.0,1.7490118577075098,95
45,1841,951,1808,0.0,1.75,94
46,1857,1055,1688,0.0,1.7484957882069796,89
47,1825,1181,1594,0.0,1.749271137026239,88
48,1811,1301,1488,0.0,1.7498591549295774,90
49,1751,1436,1413,0.0,1.743969298245614,86
50,1693,1568,1338,1.0,1.7402458578300375,82
51,1651,1690,1258,1.0,1.732987012987013,82
52,1585,1828,1186,1.0,1.7361181864493123,77
53,1497,1979,1123,1.0,1.7294469357249627,68
54,1417,2123,1059,1.0,1.72607421875,64
55,1342,2235,1022,1.0,1.7222757955641272,61
56,1254,2377,968,1.0,1.7168560606060606,62
57,1156,2518,925,1.0,1.7144859813084112,59
58,1080,2633,886,1.0,1.71270207852194,56
59,994,2742,863,1.0,1.7106831728564877,52
60,919,2844,836,1.0,1.706630336058129,44
61,838,2951,810,1.0,1.7045045045045044,39
62,750,3053,796,1.0,1.7016129032258065,33
63,676,3146,777,1.0,1.6987093902981754,28
64,616,3227,756,1.0,1.7004873726185201,26
65,543,3316,740,1.0,1.6985456148082856,26
66,481,3390,728,1.0,1.6963580517770953,25
67,426,3457,716,1.0,1.695671184958461,23
68,381,3513,705,1.0,1.693815331010453,20
69,330,3569,700,1.0,1.69377990430622,17
70,292,3612,695,1.0,1.6930091185410334,13
71,252,3653,694,1.0,1.6934433347807207,8
72,221,3686,692,1.0,1.6928416485900217,7
73,190,3722,687,1.0,1.6920744911216976,7
74,167,3749,683,1.0,1.6908776480760916,6
75,147,3771,681,1.0,1.691742325983571,5
76,121,3800,678,1.0,1.6915766738660907,4
77,109,3812,678,1.0,1.6915766738660907,4
78,89,3833,677,1.0,1.6912780656303972,3
79,77,3846,676,1.0,1.6909797151488994,3
80,65,3860,674,1.0,1.6903837861147046,3
81,56,3870,673,1.0,1.6900862068965516,2
82,46,3881,672,1.0,1.6897888841016804,2
83,38,3889,672,1.0,1.6897888841016804,2
84,34,3894,671,1.0,1.689491817398794,2
85,30,3900,669,1.0,1.6888984509466438,2
86,26,3904,669,1.0,1.6888984509466438,1
87,22,3909,668,1.0,1.6886021505376345,1
88,22,3910,667,1.0,1.6883061049011179,1
89,21,3911,667,1.0,1.6883061049011179,1
90,19,3914,666,1.0,1.6880103137086377,1
91,17,3917,665,1.0,1.6884400515685432,1
92,15,3919,665,1.0,1.6884400515685432,1
93,12,3922,665,1.0,1.6884400515685432,1
94,9,3925,665,1.0,1.6884400515685432,1
95,9,3925,665,1.0,1.6884400515685432,1
96,8,3926,665,1.0,1.6884400515685432,1
97,7,3927,665,1.0,1.6884400515685432,1
98,7,3927,665,1.0,1.6884400515685432,1
99,5,3929,665,1.0,1.6884400515685432,1
100,4,3930,665,1.0,1.6884400515685432,1
