,infected,recovered,susceptible,dead,R0,severe_cases
0,5,0,4595,0.0,0.0,0
1,9,0,4591,0.0,1.3333333333333333,1
2,15,0,4585,0.0,2.0,1
3,23,0,4577,0.0,2.0,2
4,39,0,4561,0.0,1.7894736842105263,3
5,64,0,4536,0.0,1.9666666666666666,5
6,89,1,4510,0.0,1.9318181818181819,6
7,130,3,4467,0.0,1.8823529411764706,7
8,189,3,4408,0.0,1.7809523809523808,11
9,276,6,4318,0.0,1.8104575163398693,14
10,394,10,4196,0.0,1.8820754716981132,20
11,540,14,4046,0.0,1.90625,29
12,731,19,3850,0.0,1.9201030927835052,37
13,983,24,3593,0.0,1.8977272727272727,51
14,1237,34,3329,0.0,1.9123867069486404,62
15,1525,48,3027,0.0,1.8868832731648617,72
16,1869,76,2654,1.0,1.8833819241982508,90
17,2242,113,2244,1.0,1.8829190056134724,108
18,2590,150,1859,1.0,1.88093599449415,117
19,2839,205,1555,1.0,1.877008652657602,132
20,3073,272,1253,2.0,1.8705882352941177,142
21,3218,338,1042,2.0,1.8802966101694916,146
22,3320,435,843,2.0,1.860545905707196,154
23,3294,580,723,3.0,1.8556354916067146,150
24,3277,710,610,3.0,1.845227062094532,149
25,3183,895,519,3.0,1.8363390441839496,140
26,3028,1104,464,4.0,1.8350377945753669,129
27,2858,1333,405,4.0,1.8287461773700306,125
28,2687,1550,358,5.0,1.8264997842037116,121
29,2494,1788,313,5.0,1.8246587030716723,114
30,2260,2047,288,5.0,1.8228813559322035,104
31,2007,2319,269,5.0,1.8201347935973042,91
32,1758,2582,255,5.0,1.8198992443324937,78
33,1495,2859,241,5.0,1.817384036773924,65
34,1265,3097,233,5.0,1.8154166666666667,55
35,1044,3328,223,5.0,1.815045719035744,51
36,847,3533,215,5.0,1.8145997511406056,43
37,694,3692,209,5.0,1.8140786749482403,38
38,534,3854,207,5.0,1.8141556291390728,28
39,438,3955,202,5.0,1.8132231404958679,24
40,362,4035,198,5.0,1.811881188118812,19
41,283,4116,196,5.0,1.81121187139324,17
42,225,4178,192,5.0,1.8106216550020584,15
43,184,4219,192,5.0,1.8106216550020584,12
44,144,4260,191,5.0,1.8102880658436213,12
45,123,4282,190,5.0,1.8099547511312217,10
46,97,4308,190,5.0,1.8099547511312217,9
47,77,4328,190,5.0,1.8099547511312217,7
48,55,4350,190,5.0,1.8099547511312217,4
49,44,4361,190,5.0,1.8099547511312217,2
50,35,4371,189,5.0,1.8096217105263157,1
51,29,4377,189,5.0,1.8096217105263157,0
52,24,4383,188,5.0,1.8092889436909165,1
53,21,4386,188,5.0,1.8092889436909165,1
54,15,4392,188,5.0,1.8092889436909165,1
55,12,4396,187,5.0,1.8089564502875923,1
56,10,4398,187,5.0,1.8089564502875923,1
57,7,4401,187,5.0,1.8089564502875923,1
58,7,4401,187,5.0,1.8089564502875923,1
59,6,4402,187,5.0,1.8089564502875923,1
60,6,4402,187,5.0,1.8089564502875923,1
61,6,4402,187,5.0,1.8089564502875923,1
62,4,4404,187,5.0,1.8089564502875923,1
63,2,4406,187,5.0,1.8089564502875923,1
64,2,4406,187,5.0,1.8089564502875923,1
65,2,4406,187,5.0,1.8089564502875923,1
66,2,4406,187,5.0,1.8089564502875923,1
67,2,4406,187,5.0,1.8089564502875923,1
68,1,4407,187,5.0,1.8089564502875923,0
69,1,4407,187,5.0,1.8089564502875923,0
70,1,4407,187,5.0,1.8089564502875923,0
71,0,4408,187,5.0,1.8089564502875923,0
72,0,4408,187,5.0,1.8089564502875923,0
73,0,4408,187,5.0,1.8089564502875923,0
74,0,4408,187,5.0,1.8089564502875923,0
75,0,4408,187,5.0,1.8089564502875923,0
76,0,4408,187,5.0,1.8089564502875923,0
77,0,4408,187,5.0,1.8089564502875923,0
78,0,4408,187,5.0,1.8089564502875923,0
79,0,4408,187,5.0,1.8089564502875923,0
80,0,4408,187,5.0,1.8089564502875923,0
81,0,4408,187,5.0,1.8089564502875923,0
82,0,4408,187,5.0,1.8089564502875923,0
83,0,4408,187,5.0,1.8089564502875923,0
84,0,4408,187,5.0,1.8089564502875923,0
85,0,4408,187,5.0,1.8089564502875923,0
86,0,4408,187,5.0,1.8089564502875923,0
87,0,4408,187,5.0,1.8089564502875923,0
88,0,4408,187,5.0,1.8089564502875923,0
89,0,4408,187,5.0,1.8089564502875923,0
90,0,4408,187,5.0,1.8089564502875923,0
91,0,4408,187,5.0,1.8089564502875923,0
92,0,4408,187,5.0,1.8089564502875923,0
93,0,4408,187,5.0,1.8089564502875923,0
94,0,4408,187,5.0,1.8089564502875923,0
95,0,4408,187,5.0,1.8089564502875923,0
96,0,4408,187,5.0,1.8089564502875923,0
97,0,4408,187,5.0,1.8089564502875923,0
98,0,4408,187,5.0,1.8089564502875923,0
99,0,4408,187,5.0,1.8089564502875923,0
100,0,4408,187,5.0,1.8089564502875923,0
