,infected,recovered,susceptible,dead,R0,severe_cases
0,6,0,4594,0.0,0.0,0
1,9,0,4591,0.0,1.0,0
2,13,0,4587,0.0,1.1666666666666667,1
3,16,0,4584,0.0,1.4285714285714286,1
4,22,0,4578,0.0,1.7777777777777777,2
5,31,0,4569,0.0,1.6666666666666667,2
6,44,0,4556,0.0,1.9,3
7,59,1,4540,0.0,1.8620689655172413,4
8,88,2,4510,0.0,2.048780487804878,7
9,129,3,4468,0.0,1.96875,12
10,175,6,4419,0.0,1.9230769230769231,14
11,237,8,4355,0.0,2.0254237288135593,15
12,317,10,4273,0.0,1.9937888198757765,21
13,428,18,4154,0.0,1.9047619047619047,27
14,580,22,3998,0.0,1.9413680781758957,38
15,773,30,3797,0.0,1.902147971360382,44
16,1020,41,3539,0.0,1.9464944649446494,58
17,1345,57,3198,0.0,1.9470013947001394,69
18,1687,73,2840,0.0,1.9003250270855905,85
19,2025,104,2471,0.0,1.8787610619469026,114
20,2378,128,2094,0.0,1.8532246108228316,125
21,2696,170,1734,0.0,1.8463524854744997,142
22,2944,224,1432,0.0,1.8288027761711971,156
23,3148,305,1147,0.0,1.8199577613516367,164
24,3277,404,919,0.0,1.805896805896806,166
25,3321,529,750,0.0,1.8140632373761207,166
26,3348,639,613,0.0,1.8111919927206552,166
27,3309,785,506,0.0,1.8016747465843985,159
28,3200,962,437,1.0,1.800693240901213,148
29,3042,1177,380,1.0,1.7965884861407249,146
30,2864,1411,324,1.0,1.7906879194630871,135
31,2617,1693,289,1.0,1.7896049896049897,124
32,2387,1954,258,1.0,1.7876288659793815,120
33,2120,2251,228,1.0,1.7852760736196318,111
34,1879,2505,215,1.0,1.7854812398042414,104
35,1653,2742,203,2.0,1.7831031681559708,84
36,1424,2985,189,2.0,1.782995951417004,74
37,1196,3225,177,2.0,1.7806451612903227,60
38,994,3434,170,2.0,1.7791633145615446,52
39,809,3622,167,2.0,1.7789389067524115,43
40,681,3752,165,2.0,1.779742765273312,33
41,544,3892,162,2.0,1.778803693295865,28
42,434,4004,160,2.0,1.778892455858748,25
43,332,4105,160,3.0,1.778892455858748,15
44,254,4183,160,3.0,1.778892455858748,14
45,204,4235,158,3.0,1.7782678428227747,11
46,154,4285,158,3.0,1.7782678428227747,10
47,120,4320,157,3.0,1.7779559118236472,8
48,85,4355,157,3.0,1.7779559118236472,7
49,67,4374,156,3.0,1.7783567134268536,4
50,45,4396,156,3.0,1.7783567134268536,1
51,33,4408,156,3.0,1.7783567134268536,1
52,23,4418,156,3.0,1.7783567134268536,0
53,17,4424,156,3.0,1.7783567134268536,0
54,15,4426,156,3.0,1.7783567134268536,0
55,13,4428,156,3.0,1.7783567134268536,0
56,9,4432,156,3.0,1.7783567134268536,0
57,7,4434,156,3.0,1.7783567134268536,0
58,4,4437,156,3.0,1.7783567134268536,0
59,4,4438,155,3.0,1.7780448717948718,0
60,3,4439,155,3.0,1.7780448717948718,0
61,2,4440,155,3.0,1.7780448717948718,0
62,1,4441,155,3.0,1.7780448717948718,0
63,1,4441,155,3.0,1.7780448717948718,0
64,1,4441,155,3.0,1.7780448717948718,0
65,1,4441,155,3.0,1.7780448717948718,0
66,1,4441,155,3.0,1.7780448717948718,0
67,1,4441,155,3.0,1.7780448717948718,0
68,1,4441,155,3.0,1.7780448717948718,0
69,1,4441,155,3.0,1.7780448717948718,0
70,1,4441,155,3.0,1.7780448717948718,0
71,1,4441,155,3.0,1.7780448717948718,0
72,1,4441,155,3.0,1.7780448717948718,0
73,0,4442,155,3.0,1.7780448717948718,0
74,0,4442,155,3.0,1.7780448717948718,0
75,0,4442,155,3.0,1.7780448717948718,0
76,0,4442,155,3.0,1.7780448717948718,0
77,0,4442,155,3.0,1.7780448717948718,0
78,0,4442,155,3.0,1.7780448717948718,0
79,0,4442,155,3.0,1.7780448717948718,0
80,0,4442,155,3.0,1.7780448717948718,0
81,0,4442,155,3.0,1.7780448717948718,0
82,0,4442,155,3.0,1.7780448717948718,0
83,0,4442,155,3.0,1.7780448717948718,0
84,0,4442,155,3.0,1.7780448717948718,0
85,0,4442,155,3.0,1.7780448717948718,0
86,0,4442,155,3.0,1.7780448717948718,0
87,0,4442,155,3.0,1.7780448717948718,0
88,0,4442,155,3.0,1.7780448717948718,0
89,0,4442,155,3.0,1.7780448717948718,0
90,0,4442,155,3.0,1.7780448717948718,0
91,0,4442,155,3.0,1.7780448717948718,0
92,0,4442,155,3.0,1.7780448717948718,0
93,0,4442,155,3.0,1.7780448717948718,0
94,0,4442,155,3.0,1.7780448717948718,0
95,0,4442,155,3.0,1.7780448717948718,0
96,0,4442,155,3.0,1.7780448717948718,0
97,0,4442,155,3.0,1.7780448717948718,0
98,0,4442,155,3.0,1.7780448717948718,0
99,0,4442,155,3.0,1.7780448717948718,0
100,0,4442,155,3.0,1.7780448717948718,0
