,infected,recovered,susceptible,dead,R0,severe_cases
0,4,0,4596,0.0,0.0,0
1,6,0,4594,0.0,1.0,0
2,6,0,4594,0.0,1.0,0
3,7,0,4593,0.0,1.0,0
4,7,0,4593,0.0,1.0,0
5,9,0,4591,0.0,1.25,0
6,13,0,4587,0.0,1.5,0
7,19,1,4580,0.0,1.4545454545454546,0
8,24,1,4575,0.0,1.5,1
9,32,1,4567,0.0,1.6111111111111112,1
10,39,3,4558,0.0,1.6521739130434783,2
11,54,3,4543,0.0,1.7096774193548387,2
12,69,4,4527,0.0,1.7692307692307692,3
13,93,5,4502,0.0,1.88,5
14,143,7,4450,0.0,1.896103896103896,7
15,214,9,4377,0.0,1.9043478260869566,7
16,308,11,4281,0.0,1.875,12
17,428,12,4160,0.0,1.9292035398230087,19
18,590,18,3992,0.0,1.9610389610389611,28
19,792,27,3781,0.0,1.8953488372093024,38
20,1062,38,3500,0.0,1.8864027538726333,50
21,1339,51,3209,1.0,1.8704453441295548,60
22,1661,62,2876,1.0,1.8684782608695651,81
23,2001,80,2518,1.0,1.847864768683274,92
24,2356,109,2134,1.0,1.8338301043219076,112
25,2677,158,1764,1.0,1.8467058056099153,127
26,2981,214,1404,1.0,1.8455754771544246,145
27,3183,281,1135,1.0,1.8532404927691484,151
28,3296,371,932,1.0,1.839779005524862,158
29,3362,476,761,1.0,1.8362068965517242,163
30,3372,608,619,1.0,1.829728485964105,160
31,3296,776,526,2.0,1.832807570977918,158
32,3200,966,432,2.0,1.828207381370826,155
33,3042,1177,379,2.0,1.8242424242424242,146
34,2860,1407,331,2.0,1.8213675213675213,137
35,2646,1657,295,2.0,1.818874312314854,125
36,2419,1909,270,2.0,1.8140998741082668,116
37,2160,2192,245,3.0,1.810079133694294,102
38,1914,2462,221,3.0,1.80802647910633,91
39,1654,2729,214,3.0,1.8071841453344344,82
40,1421,2971,205,3.0,1.8049382716049382,66
41,1176,3226,195,3.0,1.803857201477226,50
42,948,3457,192,3.0,1.8036080360803608,37
43,764,3645,188,3.0,1.803030303030303,28
44,629,3781,187,3.0,1.8027015963978714,19
45,480,3932,185,3.0,1.8020449897750512,15
46,365,4049,183,3.0,1.8013894564773192,14
47,299,4123,175,3.0,1.8009787928221859,11
48,231,4193,173,3.0,1.8010599266204648,7
49,180,4245,172,3.0,1.8007334963325183,4
50,132,4293,172,3.0,1.8007334963325183,4
51,92,4334,171,3.0,1.80040733197556,2
52,75,4352,170,3.0,1.8000814332247557,1
53,55,4372,170,3.0,1.8000814332247557,1
54,42,4385,170,3.0,1.8000814332247557,1
55,35,4392,170,3.0,1.8000814332247557,0
56,27,4400,170,3.0,1.8000814332247557,0
57,20,4407,170,3.0,1.8000814332247557,0
58,16,4411,170,3.0,1.8000814332247557,0
59,15,4412,170,3.0,1.8000814332247557,0
60,14,4413,170,3.0,1.8000814332247557,0
61,12,4415,170,3.0,1.8000814332247557,0
62,8,4419,170,3.0,1.8000814332247557,0
63,5,4422,170,3.0,1.8000814332247557,0
64,4,4423,170,3.0,1.8000814332247557,0
65,2,4425,170,3.0,1.8000814332247557,0
66,1,4426,170,3.0,1.8000814332247557,0
67,1,4426,170,3.0,1.8000814332247557,0
68,1,4426,170,3.0,1.8000814332247557,0
69,1,4426,170,3.0,1.8000814332247557,0
70,1,4426,170,3.0,1.8000814332247557,0
71,1,4426,170,3.0,1.8000814332247557,0
72,0,4427,170,3.0,1.8000814332247557,0
73,0,4427,170,3.0,1.8000814332247557,0
74,0,4427,170,3.0,1.8000814332247557,0
75,0,4427,170,3.0,1.8000814332247557,0
76,0,4427,170,3.0,1.8000814332247557,0
77,0,4427,170,3.0,1.8000814332247557,0
78,0,4427,170,3.0,1.8000814332247557,0
79,0,4427,170,3.0,1.8000814332247557,0
80,0,4427,170,3.0,1.8000814332247557,0
81,0,4427,170,3.0,1.8000814332247557,0
82,0,4427,170,3.0,1.8000814332247557,0
83,0,4427,170,3.0,1.8000814332247557,0
84,0,4427,170,3.0,1.8000814332247557,0
85,0,4427,170,3.0,1.8000814332247557,0
86,0,4427,170,3.0,1.8000814332247557,0
87,0,4427,170,3.0,1.8000814332247557,0
88,0,4427,170,3.0,1.8000814332247557,0
89,0,4427,170,3.0,1.8000814332247557,0
90,0,4427,170,3.0,1.8000814332247557,0
91,0,4427,170,3.0,1.8000814332247557,0
92,0,4427,170,3.0,1.8000814332247557,0
93,0,4427,170,3.0,1.8000814332247557,0
94,0,4427,170,3.0,1.8000814332247557,0
95,0,4427,170,3.0,1.8000814332247557,0
96,0,4427,170,3.0,1.8000814332247557,0
97,0,4427,170,3.0,1.8000814332247557,0
98,0,4427,170,3.0,1.8000814332247557,0
99,0,4427,170,3.0,1.8000814332247557,0
100,0,4427,170,3.0,1.8000814332247557,0
